id,issue_date,status,location,short_term_rental_type,property_type,property_type_additional_description,condo_association,total_bedrooms,rented_bedrooms,maximum_renter_capacity,kitchen,bathrooms,all_rental_services
13727,March 27 2018,Complete,"65 Pearl St
Cambridge, MA 02139
(42.363228, -71.104202)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,3,2,4,Yes,1,"Airbnb, HomeAway"
14766,April 26 2018,Complete,"34 Essex St
Cambridge, MA 02139
(42.366748, -71.101654)",This application is for an OWNER-ADJACENT short-term rental,Three-family structure,,No,1,1,2,Yes,1,Airbnb
13941,January 13 2020,Complete,"24 Corporal Mcternan St
Cambridge, MA 02139
(42.361299, -71.108347)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,"Park View Cooperative is a 12 unit cooperative with 2 entrances. 6 of the units are 1 bedroom, including mine. 4 of the units are 1.5 bedroom units and the remaining 2 units are 2 bedroom",No,1,1,2,Yes,1,Airbnb
54029,November 27 2019,Complete,"152 Berkshire St
Cambridge, MA 02141
(42.372124, -71.089837)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,The unit is one of approximately 30 units in the condo association.,Yes,1,1,4,Yes,1,"Airbnb, HomeAway, VRBO"
46488,July 09 2019,Complete,"26 Sacramento St
Cambridge, MA 02138
(42.382554, -71.117114)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,4,4,6,Yes,2,Airbnb
11734,March 26 2018,Complete,"31 Inman St
Cambridge, MA 02139
(42.368168, -71.10424)",This application is for an OWNER-OCCUPIED short-term rental,Two-family dwelling,,No,4,3,6,No,2,Airbnb
13880,May 22 2018,Complete,"2 Washington Ct
Cambridge, MA 02139
(42.365517, -71.098163)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,Yes,2,2,5,Yes,1,Airbnb
15249,April 29 2019,Complete,"32 Suffolk St
Cambridge, MA 02139
(42.366383, -71.100068)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,4,2,4,No,1,"Airbnb, HomeAway"
14033,June 25 2018,Complete,"84 Thorndike St
Cambridge, MA 02141
(42.369879, -71.081958)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,4,3,6,Yes,1,"Airbnb, HomeAway, FlipKey, VRBO, Craigslist, Couch_Surfing, Boston_Rentals"
28660,January 24 2019,Complete,"305 Washington St
Cambridge, MA 02139
(42.365251, -71.098097)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,6 unit apartment building,No,3,2,3,Yes,1,Airbnb
